LATITUDE,LONGITUDE,DATE(IST),AIR_TEMPERATURE,SOIL_TEMPERATURE,SOIL_MOISTURE,RAINFALL
16.779,75.75,22/8/2015,24.95,28.7,9.0,2.5
16.779,75.75,23/8/2015,24.65,29.3,8.9,2.5
16.779,75.75,24/8/2015,24.3,28.2,8.7,2.5
16.779,75.75,25/8/2015,24.95,29.1,8.6,2.5
16.779,75.75,26/8/2015,23.65,27.2,14.7,2.5
16.779,75.75,27/8/2015,24.15,26.5,13.2,2.5
16.779,75.75,28/8/2015,24.4,26.8,14.4,2.5
16.779,75.75,29/8/2015,24.3,26.4,12.8,2.5
16.779,75.75,30/8/2015,24.4,26.9,13.5,2.5
16.779,75.75,31/8/2015,24.4,27.8,12.7,2.5
16.779,75.75,1/9/2015,25.3,28.6,11.7,2.5
16.779,75.75,2/9/2015,25.3,28.6,10.7,2.5
16.779,75.75,3/9/2015,25.15,29.4,10.2,2.5
16.779,75.75,4/9/2015,27.3,30.5,9.7,2.5
16.779,75.75,5/9/2015,28.0,31.3,9.4,2.5
16.779,75.75,6/9/2015,24.5,29.8,9.1,2.5
16.779,75.75,7/9/2015,23.5,28.3,15.8,10.0
16.779,75.75,8/9/2015,24.8,26.4,14.5,36.0
16.779,75.75,9/9/2015,23.9,27.0,13.2,36.0
16.779,75.75,10/9/2015,23.35,26.3,17.0,36.0
16.779,75.75,11/9/2015,23.65,26.8,15.7,36.0
16.779,75.75,12/9/2015,24.95,27.2,15.7,36.0
16.779,75.75,13/9/2015,24.45,27.1,13.9,36.0
16.779,75.75,14/9/2015,23.55,26.6,16.5,44.0
16.779,75.75,15/9/2015,23.65,26.2,16.3,45.5
16.779,75.75,16/9/2015,24.8,26.6,14.5,45.5
16.779,75.75,17/9/2015,24.35,26.2,16.3,61.5
16.779,75.75,18/9/2015,24.75,26.2,15.6,62.5
16.779,75.75,19/9/2015,24.55,26.5,14.7,62.5
16.779,75.75,20/9/2015,24.9,27.2,13.8,62.5
16.779,75.75,21/9/2015,24.45,27.6,12.6,62.5
16.779,75.75,22/9/2015,25.0,28.2,11.6,62.5
16.779,75.75,23/9/2015,25.9,28.9,10.7,62.5
16.779,75.75,24/9/2015,26.65,29.5,10.1,62.5
16.779,75.75,25/9/2015,28.05,30.3,9.7,62.5
16.779,75.75,26/9/2015,27.4,29.7,9.4,62.5
16.779,75.75,27/9/2015,27.4,29.2,9.2,62.5
16.779,75.75,28/9/2015,25.25,29.6,9.0,62.5
16.779,75.75,29/9/2015,25.4,30.0,8.9,62.5
16.779,75.75,30/9/2015,25.1,29.7,8.8,62.5
16.779,75.75,1/10/2015,24.8,28.4,8.6,62.5
16.779,75.75,2/10/2015,25.65,28.0,8.6,62.5
16.779,75.75,3/10/2015,24.75,28.4,8.6,62.5
16.779,75.75,4/10/2015,24.65,29.1,8.5,62.5
16.779,75.75,5/10/2015,23.1,23.6,19.9,69.0
16.779,75.75,6/10/2015,24.15,27.3,16.6,69.0
16.779,75.75,7/10/2015,24.5,28.0,15.5,69.0
16.779,75.75,8/10/2015,24.1,27.9,14.3,69.0
16.779,75.75,9/10/2015,26.75,28.3,13.3,69.0
16.779,75.75,10/10/2015,26.85,28.6,12.4,69.0
16.779,75.75,11/10/2015,26.15,28.8,11.3,69.0
16.779,75.75,12/10/2015,25.15,28.4,10.7,69.0
16.779,75.75,13/10/2015,25.15,28.4,10.1,69.0
16.779,75.75,14/10/2015,26.65,28.5,9.7,69.0
16.779,75.75,15/10/2015,23.5,28.2,9.4,69.0
16.779,75.75,16/10/2015,25.3,28.6,9.2,69.0
16.779,75.75,17/10/2015,25.85,28.6,9.0,69.0
16.779,75.75,18/10/2015,25.2,28.7,8.9,69.0
16.779,75.75,19/10/2015,24.75,29.1,8.8,69.0
16.779,75.75,20/10/2015,22.9,29.5,8.7,69.0
16.779,75.75,21/10/2015,24.7,30.0,8.7,69.0
16.779,75.75,22/10/2015,23.65,30.1,8.6,69.0
16.779,75.75,23/10/2015,23.6,30.2,8.6,69.0
16.779,75.75,24/10/2015,23.45,30.3,8.5,69.0
16.779,75.75,25/10/2015,23.85,30.0,8.4,69.0
16.779,75.75,26/10/2015,22.4,30.0,8.3,69.0
16.779,75.75,27/10/2015,22.2,29.6,8.2,69.0
16.779,75.75,28/10/2015,21.7,29.3,8.1,69.0
16.779,75.75,29/10/2015,21.85,29.7,8.1,69.0
16.779,75.75,30/10/2015,23.45,30.6,8.1,69.0
16.779,75.75,31/10/2015,23.85,30.4,7.9,69.0
16.779,75.75,1/11/2015,22.75,30.0,7.8,69.0
16.779,75.75,2/11/2015,22.7,30.0,7.8,69.0
16.779,75.75,3/11/2015,22.65,29.5,7.6,69.0
16.779,75.75,4/11/2015,25.05,29.8,7.4,69.0
16.779,75.75,5/11/2015,23.95,30.2,7.4,69.0
16.779,75.75,6/11/2015,23.6,30.0,7.4,69.0
16.779,75.75,7/11/2015,25.25,29.9,7.3,69.0
16.779,75.75,8/11/2015,20.7,29.2,7.2,69.0
16.779,75.75,9/11/2015,25.4,29.4,7.2,69.0
16.779,75.75,10/11/2015,20.5,28.0,7.1,69.0
16.779,75.75,11/11/2015,22.85,28.4,7.1,69.0
16.779,75.75,12/11/2015,21.9,27.6,7.0,69.0
16.779,75.75,13/11/2015,21.95,28.9,7.0,69.0
16.779,75.75,14/11/2015,19.7,28.3,6.9,69.0
16.779,75.75,15/11/2015,19.8,28.4,6.9,69.0
16.779,75.75,16/11/2015,20.65,28.2,6.8,69.0
16.779,75.75,17/11/2015,20.9,27.9,6.8,69.0
16.779,75.75,18/11/2015,21.1,27.8,6.8,69.0
16.779,75.75,19/11/2015,20.8,27.3,6.7,69.0
16.779,75.75,20/11/2015,26.3,29.5,6.8,69.0
16.779,75.75,21/11/2015,25.65,28.8,6.7,69.0
16.779,75.75,22/11/2015,22.75,27.4,6.8,69.0
16.779,75.75,23/11/2015,24.15,27.2,7.0,69.0
16.779,75.75,24/11/2015,24.15,26.8,7.1,69.0
16.779,75.75,25/11/2015,23.7,27.2,7.3,69.0
16.779,75.75,26/11/2015,20.85,27.2,7.4,69.0
16.779,75.75,27/11/2015,18.9,26.6,7.4,69.0
16.779,75.75,28/11/2015,19.9,26.9,7.5,69.0
16.779,75.75,29/11/2015,19.4,26.8,7.6,69.0
16.779,75.75,30/11/2015,20.25,26.5,7.6,69.0
16.779,75.75,1/12/2015,24.75,27.4,7.7,69.0
16.779,75.75,2/12/2015,23.85,27.8,7.7,69.0
16.779,75.75,3/12/2015,23.0,27.8,7.7,69.0
16.779,75.75,4/12/2015,21.1,27.7,7.7,69.0
16.779,75.75,5/12/2015,20.15,27.2,7.7,69.0
16.779,75.75,6/12/2015,18.2,26.5,7.6,69.0
